               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.018538,            0.012318,           0.0030796,             0.86404,             0.90271,             0.93307,             0.80927,            0.011782,           0.0058268,           0.0032353,            0.001882,            0.001882,            0.001882
                  84,            0.018275,            0.012193,           0.0031107,              0.8642,             0.90325,             0.93294,             0.80868,             0.01178,            0.005825,           0.0032386,            0.001783,            0.001783,            0.001783
                  85,            0.018213,            0.012254,            0.003125,             0.86381,             0.90441,               0.933,             0.80899,            0.011778,            0.005825,           0.0032377,            0.001684,            0.001684,            0.001684
                  86,             0.01829,            0.012114,           0.0029709,              0.8635,             0.90463,             0.93318,             0.80959,            0.011777,           0.0058247,           0.0032377,            0.001585,            0.001585,            0.001585
                  87,            0.018054,            0.012093,           0.0029222,              0.8659,             0.90208,             0.93325,             0.80961,            0.011776,           0.0058247,           0.0032437,            0.001486,            0.001486,            0.001486
                  88,            0.017967,            0.011943,           0.0030465,             0.86883,             0.89739,             0.93357,             0.81018,            0.011776,           0.0058256,           0.0032449,            0.001387,            0.001387,            0.001387
                  89,             0.01778,            0.011975,           0.0027697,              0.8666,             0.90078,             0.93371,             0.81035,            0.011776,           0.0058261,           0.0032381,            0.001288,            0.001288,            0.001288
                  90,            0.017692,            0.011951,           0.0028005,             0.86646,              0.9022,             0.93363,             0.81079,            0.011777,           0.0058266,           0.0032411,            0.001189,            0.001189,            0.001189
                  91,            0.017676,            0.011843,           0.0028864,             0.86688,             0.90326,             0.93364,             0.81078,            0.011779,           0.0058286,           0.0032453,             0.00109,             0.00109,             0.00109
                  92,            0.017515,            0.011744,           0.0027198,             0.86737,             0.90303,             0.93375,             0.81097,            0.011779,           0.0058299,           0.0032495,            0.000991,            0.000991,            0.000991
                  93,            0.017432,            0.011741,           0.0026506,             0.86922,             0.90264,             0.93385,             0.81104,            0.011779,           0.0058302,           0.0032578,            0.000892,            0.000892,            0.000892
                  94,            0.017187,            0.011749,            0.002636,              0.8704,             0.90214,             0.93396,             0.81046,            0.011779,           0.0058317,           0.0032618,            0.000793,            0.000793,            0.000793
                  95,             0.01721,            0.011715,            0.002624,             0.87099,             0.90206,               0.934,             0.81112,            0.011778,           0.0058329,           0.0032665,            0.000694,            0.000694,            0.000694
                  96,            0.017178,            0.011619,           0.0025359,             0.87138,             0.90148,             0.93413,              0.8111,            0.011778,           0.0058337,           0.0032711,            0.000595,            0.000595,            0.000595
                  97,            0.016898,            0.011484,           0.0023782,             0.87222,             0.90074,             0.93411,             0.81139,            0.011779,           0.0058347,            0.003272,            0.000496,            0.000496,            0.000496
                  98,            0.016871,            0.011459,           0.0023548,             0.87501,             0.89857,             0.93429,             0.81102,            0.011778,           0.0058379,            0.003274,            0.000397,            0.000397,            0.000397
                  99,            0.016662,            0.011386,           0.0023237,             0.87615,             0.89836,              0.9344,             0.81143,            0.011778,           0.0058408,           0.0032746,            0.000298,            0.000298,            0.000298
